date,v2ProductCategory,count
2016-11-16,Apparel/Men's/Men's-Performance Wear/,1306
2016-11-16,Apparel/Men's/Men's-T-Shirts/,9780
2016-11-16,Apparel/Women's/,1095
2016-11-16,Apparel/Women's/Women's-Outerwear/,1602
2016-11-16,Apparel/Women's/Women's-Performance Wear/,724
2016-11-16,Apparel/Women's/Women's-T-Shirts/,3298
2016-11-16,Bags/,4241
2016-11-16,Bags/Backpacks/,2576
2016-11-16,Bags/More Bags/,1254
2016-11-16,Bags/Shopping and Totes/,791
2016-11-16,Drinkware/,4664
2016-11-16,Drinkware/Mugs and Cups/,1139
2016-11-16,Drinkware/Water Bottles and Tumblers/,3511
2016-11-16,Electronics/,3761
2016-11-16,Electronics/Audio/,2446
2016-11-16,Electronics/Electronics Accessories/,1919
2016-11-16,Electronics/Flashlights/,463
2016-11-16,Electronics/Power/,932
2016-11-16,Gift Cards/,94
2016-11-16,Office/,4811
